term,coef,std_error,p_value,ci_lower,ci_upper,relativity,relativity_lower,relativity_upper
"bs(VehAge, df=5, lower_bound=0, upper_bound=100)[2]",-0.025775259052601387,0.10154670662042507,0.7996294937680655,-0.2248031467772896,0.17325262867208682,0.9745540872078139,0.7986734247231689,1.1891664846901016
"bs(VehAge, df=5, lower_bound=0, upper_bound=100)[3]",-0.34658251224918724,0.43676924827825,0.42747841723628444,-1.20263450842919,0.5094694839308157,0.7071004724297577,0.30040175754429677,1.6644079655115154
"bs(VehAge, df=5, lower_bound=0, upper_bound=100)[4]",-8.823660117507126,1.994457316549279,9.684931664644125e-06,-12.732724626646114,-4.9145956083681375,0.00014720857231829965,2.9528946641057273e-06,0.0073386849952383456
"bs(VehAge, df=5, lower_bound=0, upper_bound=100)[5]",2.121398559710385,1.979592502005611,0.2838844720071063,-1.7585314482861478,6.001328567706917,8.342797232443765,0.17229770621329918,403.9651321620375
"bs(DrivAge, df=5, lower_bound=18, upper_bound=100)[1]",-2.352883089739092,0.31622666291041257,1.0036416142611415e-13,-2.9726759599947887,-1.7330902194833953,0.09509460034597918,0.051166208247530126,0.17673740784569514
"bs(DrivAge, df=5, lower_bound=18, upper_bound=100)[2]",-0.8253890068998764,0.18896893388651054,1.2547243011917786e-05,-1.1957613115143677,-0.45501670228538516,0.4380645491830688,0.3024735898770049,0.6344373713056998
"bs(DrivAge, df=5, lower_bound=18, upper_bound=100)[3]",-0.8358690352159276,0.30190296352514157,0.005628598087955572,-1.4275879705511145,-0.24415009988074055,0.4334975930177055,0.23988683910764702,0.7833700416879344
"bs(DrivAge, df=5, lower_bound=18, upper_bound=100)[4]",-0.8898181552703427,0.42963709172936326,0.03835015329414704,-1.7318913814824262,-0.04774492905825922,0.41073043512677926,0.17694941442179174,0.9533769348188229
"bs(DrivAge, df=5, lower_bound=18, upper_bound=100)[5]",0.153149710349158,0.8627360980485663,0.8591028717929918,-1.5377819699886488,1.8440813906869646,1.165499453212194,0.2148571328746689,6.322289408145004
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[1]",783.0858368425933,450.6938274536055,0.082296875589003,-100.25783302098296,1666.4295067061694,1.0142320547350045e+304,2.874592918776742e-44,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[2]",778.4654245030175,443.3640906908594,0.0791199623844483,-90.51222528941719,1647.4430742954523,1.0142320547350045e+304,4.909531061117488e-40,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[3]",780.0754988062869,443.89458943167847,0.07885919018283594,-89.94190941199702,1650.0929070245706,1.0142320547350045e+304,8.68410469275335e-40,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[4]",779.8549986512484,443.75070775268176,0.07884677270444063,-89.88040665816686,1649.5904039606635,1.0142320547350045e+304,9.2349671968189e-40,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[5]",782.7271174358885,443.9608321292421,0.07789130786210663,-87.42012408385881,1652.874358955636,1.0142320547350045e+304,1.0812409939288739e-38,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[6]",781.1993020662887,443.4702612931135,0.07814373256981577,-87.98643828278091,1650.3850424153584,1.0142320547350045e+304,6.137272001426508e-39,1.0142320547350045e+304
"bs(BonusMalus, knots=[55, 65, 80, 100], lower_bound=0, upper_bound=230)[7]",783.4281764780999,444.2497334008928,0.0778185598260892,-87.28530112917076,1654.1416540853706,1.0142320547350045e+304,1.2373010125636532e-38,1.0142320547350045e+304
LogDensity,0.13265896076846515,0.05297478529239614,0.012273188829301729,0.028830289506626555,0.23648763203030373,1.14186051268796,1.0292499051430373,1.2667918878795643
